"station_id","stationname","date","daytype","rides"
41300,"Loyola","05/23/2018","W",4723
40350,"UIC-Halsted","06/03/2018","U",1177
41300,"Loyola","06/28/2018","W",4872
40350,"UIC-Halsted","06/19/2018","W",3849
40350,"UIC-Halsted","04/19/2018","W",7158
41300,"Loyola","04/27/2018","W",5616
41300,"Loyola","04/10/2018","W",5195
41300,"Loyola","04/29/2018","U",3127
41300,"Loyola","05/30/2018","W",4268
40890,"O'Hare Airport","04/09/2018","W",10397
41300,"Loyola","04/21/2018","A",4232
40890,"O'Hare Airport","06/13/2018","W",11666
40350,"UIC-Halsted","05/31/2018","W",3466
40890,"O'Hare Airport","04/26/2018","W",11881
41300,"Loyola","05/03/2018","W",5040
40890,"O'Hare Airport","06/08/2018","W",14452
40890,"O'Hare Airport","04/06/2018","W",10945
41300,"Loyola","06/07/2018","W",4839
40350,"UIC-Halsted","04/22/2018","U",1398
40350,"UIC-Halsted","05/27/2018","U",1200
40890,"O'Hare Airport","05/04/2018","W",12727
41300,"Loyola","05/21/2018","W",3978
40890,"O'Hare Airport","05/14/2018","W",11239
40890,"O'Hare Airport","06/25/2018","W",12554
40350,"UIC-Halsted","06/14/2018","W",3670
41300,"Loyola","04/28/2018","A",4181
40890,"O'Hare Airport","04/11/2018","W",10221
41300,"Loyola","05/24/2018","W",4618
40350,"UIC-Halsted","04/07/2018","A",2087
40890,"O'Hare Airport","04/17/2018","W",10287
41300,"Loyola","04/04/2018","W",5300
40890,"O'Hare Airport","06/22/2018","W",13404
41300,"Loyola","05/07/2018","W",4610
41300,"Loyola","04/02/2018","W",4292
40350,"UIC-Halsted","06/24/2018","U",1414
40350,"UIC-Halsted","06/06/2018","W",3409
40350,"UIC-Halsted","05/14/2018","W",3284
40890,"O'Hare Airport","05/07/2018","W",12437
40350,"UIC-Halsted","05/07/2018","W",5458
40890,"O'Hare Airport","05/30/2018","W",10096
40890,"O'Hare Airport","04/28/2018","A",9490
41300,"Loyola","04/30/2018","W",5024
41300,"Loyola","06/02/2018","A",3208
41300,"Loyola","05/02/2018","W",5119
40350,"UIC-Halsted","06/30/2018","A",1555
41300,"Loyola","05/04/2018","W",5448
40890,"O'Hare Airport","06/03/2018","U",11299
40350,"UIC-Halsted","04/20/2018","W",6814
41300,"Loyola","04/05/2018","W",5521
40890,"O'Hare Airport","06/09/2018","A",10123
41300,"Loyola","06/06/2018","W",4719
40890,"O'Hare Airport","04/30/2018","W",11995
40350,"UIC-Halsted","04/15/2018","U",1224
41300,"Loyola","06/01/2018","W",4718
41300,"Loyola","05/14/2018","W",3835
40350,"UIC-Halsted","05/04/2018","W",6815
40350,"UIC-Halsted","05/12/2018","A",1697
40350,"UIC-Halsted","04/21/2018","A",1945
40890,"O'Hare Airport","05/25/2018","W",14486
40350,"UIC-Halsted","05/13/2018","U",1281
40890,"O'Hare Airport","05/29/2018","W",12318
41300,"Loyola","05/11/2018","W",4327
40350,"UIC-Halsted","06/07/2018","W",3484
40890,"O'Hare Airport","06/28/2018","W",13427
40350,"UIC-Halsted","05/09/2018","W",5746
40350,"UIC-Halsted","04/09/2018","W",6808
41300,"Loyola","05/19/2018","A",3302
40890,"O'Hare Airport","06/24/2018","U",11812
40890,"O'Hare Airport","05/12/2018","A",9557
40890,"O'Hare Airport","05/24/2018","W",13246
40350,"UIC-Halsted","05/06/2018","U",1494
